"","Builder","Favorite robot","Favorite tool","Hometown","Interesting fact","Job","Robot","Sponsors","Team","Type","Website","Years competing","Duck is our lucky mascot. Find Duck here","The second drum does several things for this robot","NA","6 seasons"
"60","Luke Ewert","Bender","WaterJet","Dorchester, WI","Team Whyachi members have over a century of combined robot combat experience","Engineer at Westar LLC","Son of Whyachi (aka SOW)","Vex RoboticsUdderGunMaxAmpsNetComponents","Team Whyachi Robotics, Luke Ewert, Reese Ewert, Rachel Stuplich","Caged 3 arm spinner (horizontal)","teamwhyachi.com, facebook.com/Whyachi, twitter.com/teamwhyachi","17 years",NA,NA,NA,NA
"61","Jerry Clarkin","Tobor","Lincoln Tig Welder","Malvern, PA","Last season, retiring due to lack of funding.","Designer/builder","SubZero","Motion ControlsBasset Industries","Team Hammertime, Jerry Clarkin, Alex Horne","Flipper","teamhammertime.com, facebook.com/Subzero-Battlebot","18 years",NA,NA,NA,NA
"62","Aren Hill","Despite being on Tantrum, Jason is in fact Witch Doctor’s #1 Fan","CNC Mill, Deep cut portaband","Mountain View, CA","No member of our team has been to the moon, yet","Mechanical Engineer","Tantrum","Auris HealthE2E ManufacturingSpektrumWest Coast ProductsIowa State UniversityPlethoraLitter RobotLazy GeckoSeems Reasonable, PRIMED","Seems Reasonable, Aren Hill, Sean Doherty, Jason Weihman, Erica Chin, Alex Grant, Bryan Culver, Dillon Carey, David Mintz, Ginger Schmidt, Brian Silverman, James Doherty","Puncher","instagram.com/tantrum.battlebot, facebook.com/tantrum.battlebot","2 years",NA,NA,NA,NA
"63","Michael “Fuzzy” Mauldin","B9 from “Lost in Space”","MIG Welder","Liberty Hill, Texas","Texas Twister is the eighth heavy robot built by Team Toad since November 2000.","Retired Computer Scientist","Texas Twister","Big Blue SawInneos LLC","Team Toad, Michael “Fuzzy” Mauldin, Kay Mauldin, Tony Woodward, Jon Bennett, Brady Davis","Disc spinner (horizontal)","lazytoad.com, facebook.com/texastwisterbb, twitter.com/TeamToad, instagram.com/fuzzymauldin","20 years",NA,NA,NA,NA
"64","Alex Hattori","Spot Mini","CNC Mill","Cambridge, MA","On top of being a Battlebot builder, Alex is also the six time US National YoYo Champion.","Student","Uppercut","Massachusetts Institute of TechnologyClifton SteelKaspersky LabSoy Motors IncShirts and LogosMIT COOPFreefly SystemsEquals Zero Designs, Manworm Technologies","MIT Combat Robotics Club, Alex Hattori, Mason Massie, Chetan Sharma, Jared DiCarlo, Sofia Leon, Greg, Xie, Sarah Pohorecky, Jackson Gray, Amy Fang, Devansh Agrawal, Dayna Erdmann","Puncher","uppercut.mit.edu, facebook.com/UppercutBattlebot","Rookie",NA,NA,NA,NA
"65","Leanne Cushing","The ‘Intergalactic’ Robot","Rotary tools","Somerville, MA","2019 marks the founding of Valkyrie’s Home for Orphaned Builders, a safe haven for lost New England bot builders wishing to feel like part of a team again.","Founder, CEO of Domovi","Valkyrie","MarkforgedTE ConnectivityAutodesk Fusion 360DattoGeneral CatalystAndyMarkEquals Zero DesignArtisans Asylum","Questionable Designs, Leanne Cushing, Frederick Moore, Alexander Crease, Amanda Fowler, Ryan Brown, Fangzhou Yu, Brooks Willis","Undercutter","questionabledesign.xyz, facebook.com/valkyriebattlebot, instagram.com/valkyriebattlebot, twitter.com/ValkyrieQD","2nd for Valkyrie, 3 for Battlebots, 5 for the team.",NA,NA,NA,NA
"66","Weidong Qi","Bronco","Crowbar","Shanghai, China","Being able to participate in Battlebots itself is already the most interesting thing, I can’t think of anything more interesting than it.","Engineer","WanHoo","Youku SportHobbywingZero Workshop","Gladiator, Weidong Qi, Junfa Qiu, Yi Li, Jinglei Sun","Disc spinner (vertical)","facebook.com/Team-Gladiator","3 years",NA,NA,NA,NA
"67","Rob Farrow","Robby the Robot","Computer","Seattle, WA","All brushless motors this year.","User Experience Researcher","WAR Hawk","BotKits.comRobotCombatEvents.comSharkMoldandManufacturing.comLulzbot.comRobotCombatEvents.comNixon.com","Western Allied Robotics, Rob Farrow, Rob Purdy, Emmanuel Carrillo, Kevin Milczewski, Doug Brown, Shawn Sergev, Martin Mason","Bar spinner (vertical)","facebook.com/WarHawkBB","20 years",NA,NA,NA,NA
"68","Jeff Vasquez","Iron Giant","MIG Welder","Thousand Oaks, CA","We design, build and operate robots for TV shows like CBS’s ‘The Big Bang Theory’, Nickelodeon’s ‘Zoey 101’, Disney XD’s ‘Lab Rats’, and Spike TV’s ‘1000 Ways to Die’. One of our more recent projects was this BattleBots inspired Rocket Mortgage Commercial.","Senior Engineering Technician at Meggitt Airframe Systems","Whiplash","MeggittGoEngineerMaxAmps.comCrane TechnologyTowers Metalworks","Fast Electric Robots, Jeff Vasquez (Team Captain), Matthew Vasquez (CAD Designer, Builder, Driver), Jason Vasquez (Co-designer, Builder, Auxiliary Driver), Debbie Vasquez (Team Manager)","Articulated Lifter / Vertical Disc Spinner","facebook.com/FastElectricRobots, instagram.com/whiplash_battlebot","19 Years",NA,NA,NA,NA
"69","Andrea Suarez","ButterBot","Tormach at BattleBots","Miami, FL","We started a nonprofit makerspace in Miami for new robot builders and makers of all kinds! Visit us at MakeMIA Makerspace to build robots with us!","Medical device engineer","Witch Doctor","VEX RoboticsKalamazoo WaterjetZimmer BiometMaxAmpsMastercamSouthern Manufacturing Technologies","Team Witch Doctor, Andrea Gellatly, Mike Gellatly, Paul Grata, Christian Chiriboga, Steven Sharp, Katheryn Sharp, Jennifer Villa, Rick Pease","Disc spinner (vertical)","facebook.com/witchdrshaman, teamwitchdoctor.com, instagram.com/witchdrshaman, youtube.com/c/witchdoctor","16 years",NA,NA,NA,NA
"70","Earl Pancoast III","Johnny 5","Millrite mill","Salem, NJ","Farmer","Builder and driver","Bale Spear",NA,"Forge & Farm Combat Robots, Earl Pancoast III, Kenny Blades,Joe Filigno, Kyle Singer, Alexander Grant, Matt Bradway","Poker","facebook.com/Bale-Spear-Battlebots-290080538189843/","4 years",NA,NA,NA,NA
"71","Miles Pekala","Robot Bastard","Welder/Plasma Cutter","Oakland, CA","Poor Life Choice’s team is composed entirely from competitors in the Power Racing Series where we build tiny go karts out of power wheels toys.","Robotics Engineer","Battle Royale With Cheese","DigikeyImgurAdvanced MetalcraftWesburger","Poor Life Choices, Miles Pekala, Jen Herchenroeder, Jordan Bunker, Lindsay Oliver, Jim Burke, Charles Wittington, Brice Farrell, Jeremy Ashinghurst, Angela Rothbaum","Bar spinner (horizontal)","facebook.com/BattleRoyalewCheese/","1 year",NA,NA,"Robot info, Builder info",NA
"72","Lucas Sloan","GLaDOS","Lasers!","Edmonton, Canada","Basilisk likes to selfie <U+0001F609>","3D Wizard","Basilisk","FormlabsKarma Machining & ManufacturingMadeBySloanSpecial Metal Fabricating","MBSrobotics, Lucas Sloan, Pierre Blanchard, Emily Ahlf","Flipper","MBSrobotics.com, facebook.com/MBSrobotics, instagram.com/MBSrobotics","3 years",NA,NA,NA,NA
"73","Adam Bercu","Marvin the paranoid android","TIG welder","Somerville, MA","Amanda, our lead fabricator, leads CAM software support at our sponsor company – Autodesk!","Entrepreneur","Brutus","AutodeskFLIREquals Zero DesignsNPC Robotics","Team Brutus, Adam Bercu, Amanda Fowler, Luis Rosende, Ben Striegal","Disc spinner (vertical)","facebook.com/brutusbattlebot","15 years",NA,NA,NA,NA
"74","Zoe Stephenson","Opportunity, the unkillable Mars rover","Waterjet… and hammer, of course","Seattle, WA","Chomp’s main pneumatic actuator is made of completely custom parts which the team designed and fabricated themselves. This is unusual; pneumatic actuators are usually bought off the shelf from large commercial manufacturers.","Mechanical Engineer","Chomp","Applied Invention LLCHannover Fairs USA","The Machine Corps, Zoe Stephenson, Jascha Little, Dimitar Vassilev, Robbie Bennett, Jo Balme","Pneumatic hammer and flamethrower","facebook.com/ChompTheBattleBot","2 years",NA,NA,"Robot info, Builder info",NA
"75","Zak Hassanein","Robbie the Robot","My hands","Vallejo, CA","I make toys","Fabricator, Driver","Deviled Egg","ameriDroidObtainium Works","Recoil Robotics, Zak Hassanein, Sydney Crump, Shannon O’Hare, Kathy O’Hare, Stephen Jacobson, Ryan Hasty","Drum spinner","obtainiumworks.net/battlebots2018","1 year",NA,NA,NA,NA
"76","Kevin Lung","XM1219 ARV MULE","Automatic Center Punch","Wadsworth, IL","I look forward to growing a beard and using my snow blower every winter.","Lead Mechanical Engineer at Moog Space and Defense.","Double Dutch","Kirsan Engineering","Iron LungFish Robotics, Kevin Lung, Emmet Lung, Dave Rhodes, Michael Rhodes, Frank Mueller","Bar spinner (horizontal)","facebook.com/IronLungFishRobotics","4 with a 16 year hiatus before now",NA,NA,NA,NA
"77","Curtis Nemeth","Hal 9000","Intimidation","Westminster, CA","We do not follow the 3 laws of robotics.","Driver, minister of disinformation","Gamma 9",NA,"Gamma Brigade, Curtis Nemeth, Mike Okerman, Mike Blummer, Dick Blummer","Grappler","gammabrigade.com/, facebook.com/Gamma-9-BattleBots-1802165200093441","24 years",NA,NA,"Robot info, Builder info",NA
"78","Michael “Fuzzy” Mauldin","B9 from Lost in Space","MIG welder","Liberty Hill, TX","Fuzzy gave up flying stunt planes to build fighting robots.","Fuzzy lives on a ranch in Texas where he raises cows, modifies Jeeps, and builds fighting robots.","Hypothermia","Big Blue Saw","Team Toad, Michael “Fuzzy” Mauldin, Kay Mauldin, Tony Woodward, Jon Bennett","Lifter","facebook.com/hypothermiabb, twitter.com/HypothermiaBB","18 years",NA,NA,"Robot info, Builder info",NA
"79","Marc DeVidts","Data (from Star Trek)","CNC Mill","Burlingame, CA","Marc built LED suits for the Black Eyed Peas","CTO at Double Robotics","Icewave","SolidworksDouble RoboticsBig Blue Saw","Team Icewave, Marc DeVidts, Angela Bamblett, Alex Espinosa","Bar spinner (horizontal)","teamicewave.com, facebook.com/teamicewave, twitter.com/teamicewave","16 years",NA,NA,NA,NA
"80","Christian Carlberg","Maximilian","Waterjet","San Luis Obispo, CA","Mecha Rampage is actually three robots bolted together into one. Left side, right side, and center weapon robot.","Builder","Mecha Rampage","Suitable Technologies","C2 Robotics, Christian Carlberg, Mike Ballard, Jessica Carlberg, Carissa Carlberg, Coen Carlberg, Riesen Carlberg","Bar spinner (horizontal)","facebook.com/TeamC2Robotics","9 years",NA,NA,NA,NA
"81","Maxwell Bales","Scorch from Titanfall","LASERS!","Miami, FL","Our robotics hobby goes back to the very first FIRST competition in 1993","Driver, Organizer","Mohawk","MWL Engineering, Syntheon, Euclid Labs","Euclid Robotics, Maxwell Bales, Greg Bales, Connie Ryan, Kat Cochran, Tom Bales, Korey Kline","Fire Attack Piercer","facebook.com/MohawkRobot/","13 years",NA,NA,"Robot info, Builder info",NA
"82","Charles Guan","Drossel von Flügel","Abrasive waterjet","Cambridge, MA","Charles designed and sold a motor controller which is powering about 1/3rd of the robots.","Independent Consultant","Overhaul","HobbyKingMarkforgedSSABEquals Zero DesignsBanebots","Equals Zero Robotics, Charles Guan, Cynthia Lu, Paige Reiter, Alex Bush, Fangzhou Yu","Grappler","facebook.com/EqualsZeroRobotics","15 years",NA,NA,"Robot info, Builder info",NA
"83","Luke Bittenbinder","Data","Angle grinder","Northampton, United Kingdom","Sam and JT had never met in person prior to being on Battlebots!","Mech Engineering Student","Parallax","MAHLE","Aberrant Robotics, Luke Bittenbinder, JT Atkinson, Sam Mills","Drum spinner","facebook.com/ParallaxBattlebot","Rookie",NA,NA,"Robot info, Builder info",NA
"84","Craig Danby","MechaGodzilla","Solidworks","Knightdale, NC","Predator has a 15 minute run time and can bend 6mm hardened steel plate","Freelance mechanical design engineer","Predator","CATSOrderfoxPlan SnapChester Machine ToolsHardox","Team Danby, Corinne Tuney, Chris Danby, Rory Mangles, Craig Danby","Grappler","facebook.com/teamdanby, twitter.com/teamDanby, instagram.com/cmdanby","20 years, Battlebots Rookie",NA,NA,"Robot info, Builder info",NA
"85","Tim Bouwens","Mechadon","Anything CNC","Tilburg, The Netherlands","Four dutch top teams working together to make the best!","Mechanical Engineer","Reality","Segula TechnologiesAdditive Industries","Team Bonx, MSR, Kodox, Tie-Rip, Tim Bouwens, Stef van Itterzon, Jeroen van Lieverloo , Jeroen van der Loo, Dennis Martens","Drum spinner","facebook.com/RealityBattleBots/","18 years",NA,NA,"Robot info, Builder info",NA
"86","Ravi Baboolal","Johnny 5","Plasma Torch","Spanish Fork, UT","We borrowed Red Devil from DT Robotics. All Black Robotics is comprised of 4 top Canadian teams. In Canada, we buy milk in plastic bags!","Process Engineer","Red Devil","RoboteqDemToolRevolution 3D PrintersTormachGarageSmart","All Black Robotics, Ravi Baboolal, Logan Prizrenac, Antoine Trabulsi, Julia Chernushevich","Grappler","facebook.com/LycanBattlebot","15 years",NA,NA,NA,NA
"87","Sean Irvin","Omega Supreme from Transformers. I still have a fully functioning toy in my office.","8 lb sledge hammer – It’s better to be the hammer than the anvil!","Valkaria, FL","Sean has been interested in robots since he was a kid. Growing up with Transformers, Star Wars, Lost in Space, and Robot Jox led him to pursue his college degree in Mechanical Engineering and a Masters in Robotics.","Robotics Engineer. Sean designs military EoD robots for Harris Corporation. These robots are used in theater to save human life by identifying, neutralizing, and removing IEDs.","Ultimo Destructo","Harris CorporationMax AmpsNPC Robotics","Carnage Robotics, Sean Irvin, Don Price","Swiss Army Bot- flipper, hammer, vertical spinner, horizontal spinner, kitchen sink",NA,NA,NA,NA,NA," BattleBots S3-5 on Comedy Central, Robocide Season 1, BattleBots Season 2 on ABC, and BattleBots 2018"
"88","Jack Tweedy","Marvin (Hitchikers Guide To The Galaxy)","Sledgehammer","Kent, United Kingdom","Vanquish is Jack’s first solo heavyweight build and was designed and built bit by bit over approximately a year.","Engineering Apprentice","Vanquish",NA,"Team Nebula, Jack Tweedy, Roderick Lamb","Lifter","facebook.com/teamnebularobotics/","7 years",NA,NA,"Robot info, Builder info",NA
"89","Simon Scott","Robbie the Robot","Bridgeport Mill","Poole, United Kingdom","Simon is still a keen BMXer even at age 51. Warhead was built between 2000 and 2002 and took 3000 hours for Ian and Simon to design and build with a further 1000 hours build work in 2015. Ian designs and builds his own high performance flying wings called The Octane. Van the Man can back flip off the ramp on his BMX.","Engineer","Warhead","Optipower, C & M Mould Tools, Scorpion MotorsSparkpostFundpdx","Team Warhead, Simon Scott, Ian Lewis, Van the Man","Disc spinner (horizontal)","facebook.com/WarheadRobot/","20 years",NA,NA,NA,NA
"90","Clint Ewert","Bender from Futurama","WaterJet and CAD","Dorchester, WI","Our teams parts are in the majority of the robots at Battlebots","Mechanical Engineer","Warrior Dragon","Team WhyachiUddergunVex RoboticsMax Amps","Team Whyachi Warrior Dragon, Clint Ewert, Jake Ewert, Korbin Ewert","Kinetic Ring Spinning Flipper","facebook.com/Whyachi","16 years",NA,NA,NA,NA
